code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
7868,広済堂ホールディングス,その他製品,606,3.95,51.1,3.7,5.4,640,498,640,厳選,順張り,5.4,15.555
6504,富士電機,電気機器,13085,3.44,304.8,3.7,2.6,13425,11675,13945,厳選,順張り,3.34,13.2
3436,ＳＵＭＣＯ,金属製品,2476,5.47,730.1,5.8,2.5,2797,2110,2797,厳選,順張り,5.91,13.0
6315,ＴＯＷＡ,機械,2920,1.74,200.4,4.4,2.2,3090,2542,3125,厳選,順張り,2.11,11.51
3110,日東紡績,ガラス・土石製品,28540,1.17,578.9,6.4,0.9,28990,25410,30950,厳選,順張り,1.48,8.280000000000001
7981,タカラスタンダード,その他製品,2964,5.11,26.4,2.8,5.3,3180,2626,3180,補欠,順張り,6.56,14.32
7259,アイシン,輸送用機器,2488,7.96,211.1,2.7,3.1,2500,2152,2978,補欠,順張り,8.86,14.2
4043,トクヤマ,化学,3998,7.56,86.6,2.6,3.3,4074,3627,4476,補欠,順張り,8.02,13.93
6472,ＮＴＮ,機械,382,8.76,48.2,2.8,3.6,392,334,428,補欠,順張り,9.14,12.61
7282,豊田合成,輸送用機器,4627,1.34,84.6,2.7,2.9,4805,3972,5230,補欠,順張り,2.24,12.27
