code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
7003,三井Ｅ＆Ｓ,機械,4877,2.89,111.1,5.0,1.2,4907,4326,5806,厳選,順張り,3.99,[],,0.4493425632373014,中立,📊業種空売り中立(44.9%),10.4
6269,三井海洋開発,機械,10500,2.84,77.6,4.0,1.3,10500,9351,13350,厳選,順張り,3.94,[],,0.4493425632373014,中立,📊業種空売り中立(44.9%),9.48
4578,大塚ホールディングス,医薬品,11155,2.2,126.4,3.1,1.0,11400,10840,11910,厳選,順張り,1.7,[],,0.44243434364237644,中立,📊業種空売り中立(44.2%),8.7
3046,ジンズホールディングス,小売業,6910,5.82,25.9,4.5,1.1,6910,6250,9360,厳選,順張り,5.99,[],,0.47871812822220294,中立,📊業種空売り中立(47.9%),6.495
6961,エンプラス,電気機器,13150,3.14,20.6,5.8,1.1,13360,10960,17680,厳選,順張り,4.52,[],,0.4445639778874109,中立,📊業種空売り中立(44.5%),6.23
4519,中外製薬,医薬品,7416,2.83,209.7,2.5,1.2,7509,7163,8893,補欠,順張り,2.33,[],,0.44243434364237644,中立,📊業種空売り中立(44.2%),9.73
6702,富士通,電気機器,3279,1.08,143.6,2.8,0.6,3377,3181,3839,補欠,順張り,2.46,[],,0.4445639778874109,中立,📊業種空売り中立(44.5%),8.66
6727,ワコム,電気機器,770,1.85,9.9,2.7,1.9,770,709,949,補欠,順張り,3.23,[],,0.4445639778874109,中立,📊業種空売り中立(44.5%),7.295
7721,東京計器,精密機器,6980,0.72,46.2,5.7,1.3,7320,5940,8520,補欠,順張り,1.88,[],,0.35145367809363537,空売り低位,📈業種空売り低位(35.1%),6.790000000000001
6141,ＤＭＧ森精機,機械,3615,0.95,34.9,4.4,1.0,3648,3266,3940,補欠,順張り,2.05,[],,0.4493425632373014,中立,📊業種空売り中立(44.9%),5.795
